['Guitar-LP', ['USDT', 'BUSD'], ['0x55d398326f99059fF775485246999027B3197955', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['Guitar-LP', ['WBNB', 'BUSD'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['Guitar-LP', ['Cake', 'WBNB'], ['0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['Guitar-LP', ['ADA', 'WBNB'], ['0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['Guitar-LP', ['GUT', 'BUSD'], ['0xb6bA8c98021C31A02DD65e9bE97729EbA859d4E2', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['Guitar-LP', ['GUT', 'WBNB'], ['0xb6bA8c98021C31A02DD65e9bE97729EbA859d4E2', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['Guitar-LP', ['USDT', 'GUT'], ['0x55d398326f99059fF775485246999027B3197955', '0xb6bA8c98021C31A02DD65e9bE97729EbA859d4E2']]
['Guitar-LP', ['REDBUFF', 'GUT'], ['0x9eC132c19f2c35272DE3f81a75D674752D952DA8', '0xb6bA8c98021C31A02DD65e9bE97729EbA859d4E2']]
['Guitar-LP', ['GUT', 'FRT'], ['0xb6bA8c98021C31A02DD65e9bE97729EbA859d4E2', '0xd51237A6F3219d186f0C8d8Dd957b1Bcb3Ce5d48']]
['Guitar-LP', ['Cake', 'GUT'], ['0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82', '0xb6bA8c98021C31A02DD65e9bE97729EbA859d4E2']]
['Guitar-LP', ['BABY', 'GUT'], ['0x53E562b9B7E5E94b81f10e96Ee70Ad06df3D2657', '0xb6bA8c98021C31A02DD65e9bE97729EbA859d4E2']]
['Guitar-LP', ['game1', 'GUT'], ['0x0E52d24c87A5ca4F37E3eE5E16EF5913fb0cCEEB', '0xb6bA8c98021C31A02DD65e9bE97729EbA859d4E2']]
['Guitar-LP', ['SHIB', 'GUT'], ['0x2859e4544C4bB03966803b044A93563Bd2D0DD4D', '0xb6bA8c98021C31A02DD65e9bE97729EbA859d4E2']]
['Guitar-LP', ['CZF', 'GUT'], ['0x7c1608C004F20c3520f70b924E2BfeF092dA0043', '0xb6bA8c98021C31A02DD65e9bE97729EbA859d4E2']]
['Guitar-LP', ['SING', 'GUT'], ['0x23894C0ce2d79B79Ea33A4D02e67ae843Ef6e563', '0xb6bA8c98021C31A02DD65e9bE97729EbA859d4E2']]
['Guitar-LP', ['LTC', 'GUT'], ['0x4338665CBB7B2485A8855A139b75D5e34AB0DB94', '0xb6bA8c98021C31A02DD65e9bE97729EbA859d4E2']]
['BSW-LP', ['USDT', 'BUSD'], ['0x55d398326f99059fF775485246999027B3197955', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['USDT', 'WBNB'], ['0x55d398326f99059fF775485246999027B3197955', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['WBNB', 'BUSD'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['USDT', 'USDC'], ['0x55d398326f99059fF775485246999027B3197955', '0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d']]
['BSW-LP', ['ETH', 'USDT'], ['0x2170Ed0880ac9A755fd29B2688956BD959F933F8', '0x55d398326f99059fF775485246999027B3197955']]
['BSW-LP', ['USDT', 'BTCB'], ['0x55d398326f99059fF775485246999027B3197955', '0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c']]
['BSW-LP', ['ETH', 'BTCB'], ['0x2170Ed0880ac9A755fd29B2688956BD959F933F8', '0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c']]
['BSW-LP', ['BTCB', 'WBNB'], ['0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['USDT', 'BSW'], ['0x55d398326f99059fF775485246999027B3197955', '0x965F527D9159dCe6288a2219DB51fc6Eef120dD1']]
['BSW-LP', ['BSW', 'WBNB'], ['0x965F527D9159dCe6288a2219DB51fc6Eef120dD1', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['BSW', 'BUSD'], ['0x965F527D9159dCe6288a2219DB51fc6Eef120dD1', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['USDC', 'BUSD'], ['0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['ETH', 'WBNB'], ['0x2170Ed0880ac9A755fd29B2688956BD959F933F8', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['Cake', 'WBNB'], ['0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['DAI', 'USDT'], ['0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3', '0x55d398326f99059fF775485246999027B3197955']]
['BSW-LP', ['DOT', 'WBNB'], ['0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['WBNB', 'UNI'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xBf5140A22578168FD562DCcF235E5D43A02ce9B1']]
['BSW-LP', ['ADA', 'WBNB'], ['0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['TUSD', 'BUSD'], ['0x14016E85a25aeb13065688cAFB43044C2ef86784', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['UST', 'BUSD'], ['0x23396cF899Ca06c4472205fC903bDB4de249D6fC', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['LTC', 'USDT'], ['0x4338665CBB7B2485A8855A139b75D5e34AB0DB94', '0x55d398326f99059fF775485246999027B3197955']]
