['Cake-LP', 'Guitar-LP', 'USDT', 'BUSD', '0x55d398326f99059fF775485246999027B3197955', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'Guitar-LP', 'WBNB', 'BUSD', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'Guitar-LP', 'Cake', 'WBNB', '0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'Guitar-LP', 'ADA', 'WBNB', '0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'Guitar-LP', 'GUT', 'BUSD', '0xb6bA8c98021C31A02DD65e9bE97729EbA859d4E2', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'Guitar-LP', 'USDT', 'GUT', '0x55d398326f99059fF775485246999027B3197955', '0xb6bA8c98021C31A02DD65e9bE97729EbA859d4E2']
['Cake-LP', 'BSW-LP', 'USDT', 'BUSD', '0x55d398326f99059fF775485246999027B3197955', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'USDT', 'WBNB', '0x55d398326f99059fF775485246999027B3197955', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'WBNB', 'BUSD', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'USDT', 'USDC', '0x55d398326f99059fF775485246999027B3197955', '0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d']
['Cake-LP', 'BSW-LP', 'ETH', 'USDT', '0x2170Ed0880ac9A755fd29B2688956BD959F933F8', '0x55d398326f99059fF775485246999027B3197955']
['Cake-LP', 'BSW-LP', 'ETH', 'BTCB', '0x2170Ed0880ac9A755fd29B2688956BD959F933F8', '0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c']
['Cake-LP', 'BSW-LP', 'BTCB', 'WBNB', '0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'USDT', 'BSW', '0x55d398326f99059fF775485246999027B3197955', '0x965F527D9159dCe6288a2219DB51fc6Eef120dD1']
['Cake-LP', 'BSW-LP', 'BSW', 'WBNB', '0x965F527D9159dCe6288a2219DB51fc6Eef120dD1', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'BSW', 'BUSD', '0x965F527D9159dCe6288a2219DB51fc6Eef120dD1', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'USDC', 'BUSD', '0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'ETH', 'WBNB', '0x2170Ed0880ac9A755fd29B2688956BD959F933F8', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'Cake', 'WBNB', '0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'DAI', 'USDT', '0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3', '0x55d398326f99059fF775485246999027B3197955']
['Cake-LP', 'BSW-LP', 'DOT', 'WBNB', '0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'WBNB', 'UNI', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xBf5140A22578168FD562DCcF235E5D43A02ce9B1']
['Cake-LP', 'BSW-LP', 'ADA', 'WBNB', '0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'TUSD', 'BUSD', '0x14016E85a25aeb13065688cAFB43044C2ef86784', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'UST', 'BUSD', '0x23396cF899Ca06c4472205fC903bDB4de249D6fC', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'VAI', 'BUSD', '0x4BD17003473389A42DAF6a0a729f6Fdb328BbBd7', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'XRP', 'WBNB', '0x1D2F0da169ceB9fC7B3144628dB156f3F6c60dBE', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'WBNB', 'LINK', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD']
['Cake-LP', 'BSW-LP', 'ADA', 'USDT', '0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47', '0x55d398326f99059fF775485246999027B3197955']
['Cake-LP', 'BSW-LP', 'FEG', 'WBNB', '0xacFC95585D80Ab62f67A14C566C1b7a49Fe91167', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'WBNB', 'BAKE', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5']
['Cake-LP', 'BSW-LP', 'WBNB', 'XVS', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63']
['Cake-LP', 'BSW-LP', 'TWT', 'WBNB', '0x4B0F1812e5Df2A09796481Ff14017e6005508003', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'WBNB', 'BUNNY', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xC9849E6fdB743d08fAeE3E34dd2D1bc69EA11a51']
['Cake-LP', 'BSW-LP', 'IRON', 'BUSD', '0x7b65B489fE53fCE1F6548Db886C08aD73111DDd8', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'WEX', 'WBNB', '0xa9c41A46a6B3531d28d5c32F6633dd2fF05dFB90', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'WBNB', 'BabyDoge', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xc748673057861a797275CD8A068AbB95A902e8de']
['Cake-LP', 'BSW-LP', 'SAFEMOON', 'WBNB', '0x8076C74C5e3F5852037F31Ff0093Eeb8c8ADd8D3', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'SXP', 'WBNB', '0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'TRX', 'WBNB', '0x85EAC5Ac2F758618dFa09bDbe0cf174e7d574D5B', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'TKO', 'WBNB', '0x9f589e3eabe42ebC94A44727b3f3531C0c877809', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'WBNB', 'REEF', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xF21768cCBC73Ea5B6fd3C687208a7c2def2d966e']
['Cake-LP', 'BSW-LP', 'WBNB', 'SFP', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xD41FDb03Ba84762dD66a0af1a6C8540FF1ba5dfb']
['Cake-LP', 'BSW-LP', 'ALPACA', 'BUSD', '0x8F0528cE5eF7B51152A59745bEfDD91D97091d2F', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'MBOX', 'WBNB', '0x3203c9E46cA618C8C1cE5dC67e7e9D75f5da2377', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'ALPHA', 'WBNB', '0xa1faa113cbE53436Df28FF0aEe54275c13B40975', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'BTT', 'WBNB', '0x8595F9dA7b868b1822194fAEd312235E43007b49', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'ETH', 'SUSHI', '0x2170Ed0880ac9A755fd29B2688956BD959F933F8', '0x947950BcC74888a40Ffa2593C5798F11Fc9124C4']
['Cake-LP', 'BSW-LP', 'WBNB', 'BIFI', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xCa3F508B8e4Dd382eE878A314789373D80A5190A']
['Cake-LP', 'BSW-LP', 'WIN', 'WBNB', '0xaeF0d72a118ce24feE3cD1d43d383897D05B4e99', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'WBNB', 'BELT', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xE0e514c71282b6f4e823703a39374Cf58dc3eA4f']
['Cake-LP', 'BSW-LP', 'WBNB', 'DPET', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xfb62AE373acA027177D1c18Ee0862817f9080d08']
['Cake-LP', 'BSW-LP', 'RABBIT', 'BUSD', '0x95a1199EBA84ac5f19546519e287d43D2F0E1b41', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'BUSD', 'HTp8', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56', '0xf3801dee2e8CDfd90C6C7061A3b4672AB4d187E9']
['Cake-LP', 'BSW-LP', 'NABOX', 'BUSD', '0x755f34709E369D37C6Fa52808aE84A32007d1155', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'SKILL', 'WBNB', '0x154A9F9cbd3449AD22FDaE23044319D6eF2a1Fab', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'AXS', 'WBNB', '0x715D400F88C167884bbCc41C5FeA407ed4D2f8A0', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'WBNB', 'FARA', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xF4Ed363144981D3A65f42e7D0DC54FF9EEf559A1']
['Cake-LP', 'BSW-LP', 'SPS', 'WBNB', '0x1633b7157e7638C4d6593436111Bf125Ee74703F', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'BEL', 'WBNB', '0x8443f091997f06a61670B735ED92734F5628692F', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'AMLO', 'USDT', '0x4f359c7CA74dd6e9380CACaf28989f3c8Ae7e51E', '0x55d398326f99059fF775485246999027B3197955']
['Cake-LP', 'BSW-LP', 'C98', 'WBNB', '0xaEC945e04baF28b135Fa7c640f624f8D90F1C3a6', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'BMON', 'BUSD', '0x08ba0619b1e7A582E0BCe5BBE9843322C954C340', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'WBNB', 'TENFI', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xd15C444F1199Ae72795eba15E8C1db44E47abF62']
['Cake-LP', 'BSW-LP', 'CCAR', 'WBNB', '0x50332bdca94673F33401776365b66CC4e81aC81d', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'BABY', 'USDT', '0x53E562b9B7E5E94b81f10e96Ee70Ad06df3D2657', '0x55d398326f99059fF775485246999027B3197955']
['Cake-LP', 'BSW-LP', 'Zoo', 'WBNB', '0x1D229B958D5DDFca92146585a8711aECbE56F095', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'Key', 'BUSD', '0x6652462466DCeE5Cb1dda95379FaE3c3E57f6719', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'ALU', 'WBNB', '0x8263CD1601FE73C066bf49cc09841f35348e3be0', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'WBNB', 'ETERNAL', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xD44FD09d74cd13838F137B590497595d6b3FEeA4']
['Cake-LP', 'BSW-LP', 'PCT', 'WBNB', '0x4631d9D8b34f51B82958a19453bdc9eA0C4E49FC', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'Kala', 'BUSD', '0x32299c93960bB583A43c2220Dc89152391A610c5', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'AIRT', 'WBNB', '0x016CF83732f1468150D87dCC5BdF67730B3934D3', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'PEARL', 'WBNB', '0x118B60763002f3Ba7603A3c17F946A0c7daB789F', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'UST', 'USDC', '0x23396cF899Ca06c4472205fC903bDB4de249D6fC', '0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d']
['Cake-LP', 'BSW-LP', 'ZOON', 'WBNB', '0x9D173E6c594f479B4d47001F8E6A95A7aDDa42bC', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'HOTCROSS', 'BUSD', '0x4FA7163E153419E0E1064e418dd7A99314Ed27b6', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'SHIB', 'WBNB', '0x2859e4544C4bB03966803b044A93563Bd2D0DD4D', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'FTM', 'WBNB', '0xAD29AbB318791D579433D831ed122aFeAf29dcfe', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'WBNB', 'MATIC', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xCC42724C6683B7E57334c4E856f4c9965ED682bD']
['Cake-LP', 'BSW-LP', 'USDT', 'ETERNAL', '0x55d398326f99059fF775485246999027B3197955', '0xD44FD09d74cd13838F137B590497595d6b3FEeA4']
['Cake-LP', 'BSW-LP', 'bMXX', 'WBNB', '0x4131b87F74415190425ccD873048C708F8005823', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'FORM', 'BUSD', '0x25A528af62e56512A19ce8c3cAB427807c28CC19', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BSW-LP', 'RACA', 'WBNB', '0x12BB890508c125661E03b09EC06E404bc9289040', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BSW-LP', 'WBNB', 'HERO', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xD40bEDb44C081D2935eebA6eF5a3c8A31A1bBE13']
['Cake-LP', 'BSW-LP', 'BUSD', 'Bits', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56', '0xFE2Cd84D547bB635e6843557A7b2068937C5feB8']
['Cake-LP', 'BSW-LP', 'NEAR', 'WBNB', '0x1Fa4a73a3F0133f0025378af00236f3aBDEE5D63', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
